asset_group,bucket,vm_shard,total_rows,v8_rows,v_lt_8_rows,null_rows,schema_versions_seen
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-eth-light-2024-w2-20260430-031231.parquet,9,0,9,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2021-light-20260504-194141.parquet,8,0,8,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2022-light-20260504-194214.parquet,8,0,8,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2023-light-20260504-194244.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260314_2a3b8f.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260315_4196d6.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260321_d1f117.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260322_3a8764.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260328_dcefbf.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260329_aa0f6d.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260404_7033f9.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260405_7684f4.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260411_f372a1.parquet,8,0,8,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260412_ed9d16.parquet,8,0,8,0,6
tradfi,instruments-store-tradfi-prd-central-element-323112,tradfi-instr-cme-2026-20260504-231617.parquet,8,0,8,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-eth-heavy-2023-05-20260430-031045.parquet,8,0,8,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bitfinex-futures-2020-heavy-20260506-160553.parquet,7,0,7,0,6
